target_id,target_name,target_type,latitude_deg,longitude_deg,priority,release_step,deadline_step,duration,required_mode,required_resolution_m,required_swath_km,min_sun_elevation_deg,energy_cost,original_data_mb,compression_ratio,cooperation_mode,required_observers,max_coordination_gap_steps,observation_duration_seconds,area_width_km,area_height_km,area_orientation_deg,coverage_threshold
train_002702,Train-Target-002702,area,36.58046475,7.28203957,7,69,122,1,optical,9.5520,24.8386,8.0,6.5996,76.4758,0.396700,auto,0,120,20.0,106.8446,58.2178,249.8096,0.95
train_001529,Train-Target-001529,area,-66.20556406,-147.55767730,1,42,199,1,optical,4.6621,63.9191,8.0,5.4959,83.1825,0.398701,auto,0,120,20.0,163.0124,264.3095,102.5103,0.95
train_002109,Train-Target-002109,area,-16.14967874,131.60353688,8,60,138,1,optical,3.2682,44.3068,8.0,7.8662,37.1178,0.257850,auto,0,120,20.0,292.4977,227.4700,24.1904,0.95
train_002760,Train-Target-002760,point,28.18334620,-40.27618425,4,68,131,1,optical,8.7515,39.9814,8.0,7.1619,41.7517,0.264343,single,1,120,5.0,,,,
train_002028,Train-Target-002028,area,20.46160688,159.57970073,6,97,155,1,optical,9.7716,24.9222,8.0,4.5469,37.6653,0.350785,auto,0,120,20.0,135.6294,123.5262,294.1039,0.95
train_002601,Train-Target-002601,area,78.46902666,166.65189211,2,70,139,1,optical,7.8733,57.1684,8.0,7.0530,53.8610,0.276420,auto,0,120,20.0,125.2399,53.0047,121.2160,0.95
train_000781,Train-Target-000781,point,-17.87738791,-167.81395065,5,62,220,1,infrared,18.4410,130.7051,-90.0,8.1953,65.4983,0.254569,single,1,120,5.0,,,,
train_002644,Train-Target-002644,area,-5.44479643,-40.47545568,5,111,209,1,optical,6.1086,20.4937,8.0,6.3158,42.0701,0.187310,auto,0,120,20.0,74.0572,54.7820,185.8795,0.95
train_001588,Train-Target-001588,area,-26.36444449,-170.99376724,5,49,95,1,optical,7.0639,42.0481,8.0,4.8633,24.6672,0.425094,auto,0,120,20.0,193.5179,212.2430,56.6305,0.95
train_002525,Train-Target-002525,area,8.96782908,-103.15923418,1,83,195,1,optical,8.8327,57.9018,8.0,4.5554,41.5670,0.251929,auto,0,120,20.0,130.9751,110.8499,310.5688,0.95
train_002964,Train-Target-002964,area,-21.22783533,-93.17090840,7,7,62,1,optical,4.0516,52.5995,8.0,4.6340,30.3008,0.239073,auto,0,120,20.0,231.9163,141.1223,226.8518,0.95
train_000307,Train-Target-000307,point,40.88228891,-5.87491221,3,62,199,1,sar,10.5970,58.6550,-90.0,6.7421,79.1339,0.446832,single,1,120,5.0,,,,
train_000177,Train-Target-000177,area,27.74288618,-164.61157220,3,53,159,1,optical,4.3553,16.9954,8.0,5.6108,58.1508,0.389652,auto,0,120,20.0,32.6249,15.8580,157.9108,0.95
train_001380,Train-Target-001380,area,-29.53744798,-122.22505790,4,68,193,1,sar,13.2557,55.8028,-90.0,6.4905,78.1720,0.260338,auto,0,120,20.0,32.3016,46.9567,106.9839,0.95
train_000335,Train-Target-000335,area,2.51674335,-36.09221722,10,135,233,1,sar,14.7911,100.3592,-90.0,6.7253,88.0080,0.203449,auto,0,120,20.0,26.0332,20.1417,131.9564,0.95
train_001763,Train-Target-001763,area,4.70963284,-81.22111298,6,40,131,1,optical,5.0407,29.0020,8.0,6.5416,31.7140,0.313671,auto,0,120,20.0,167.1449,241.1399,147.7360,0.95
train_002415,Train-Target-002415,area,18.37678491,-135.77310110,7,54,95,1,optical,4.8894,14.9131,8.0,5.9492,66.4574,0.378262,auto,0,120,20.0,100.0157,90.7941,118.5698,0.95
train_001696,Train-Target-001696,area,66.40408078,5.86616189,2,100,235,1,optical,3.6957,42.6202,8.0,8.2833,79.0811,0.228108,auto,0,120,20.0,38.4112,13.9221,70.9766,0.95
train_000257,Train-Target-000257,area,-47.93891557,146.27363737,8,98,194,1,optical,3.5059,35.5536,8.0,8.1340,61.9811,0.359641,auto,0,120,20.0,41.2116,38.9420,25.7245,0.95
train_001055,Train-Target-001055,area,37.33455163,37.76557053,1,111,227,1,optical,5.9759,57.2005,8.0,7.4565,40.5332,0.279430,auto,0,120,20.0,112.9254,94.8052,0.1993,0.95
train_002296,Train-Target-002296,area,4.27706504,162.10782486,6,177,229,1,optical,8.5869,41.2515,8.0,5.6519,75.4832,0.440466,auto,0,120,20.0,226.4242,185.8342,203.3480,0.95
train_000266,Train-Target-000266,area,-5.66648232,-171.54781660,2,5,147,1,sar,16.5174,86.7937,-90.0,8.1089,33.4071,0.214066,auto,0,120,20.0,43.9919,41.3995,179.8767,0.95
train_002683,Train-Target-002683,area,-18.05594459,167.94911802,2,38,195,1,optical,7.9355,64.6792,8.0,7.9343,31.9680,0.335836,auto,0,120,20.0,231.0282,167.4758,58.9445,0.95
train_001049,Train-Target-001049,area,-9.36332505,-82.88603436,1,33,92,1,optical,7.6897,30.0443,8.0,7.9198,81.6954,0.317721,auto,0,120,20.0,96.9109,138.2766,268.3045,0.95
train_001327,Train-Target-001327,area,47.49654836,-17.00183078,2,73,207,1,optical,4.4097,40.8399,8.0,5.3947,43.9163,0.203562,auto,0,120,20.0,32.6738,45.0826,7.3999,0.95
train_001722,Train-Target-001722,area,45.05486367,66.43842983,8,37,129,1,optical,9.4344,42.1128,8.0,5.9458,37.9128,0.389443,auto,0,120,20.0,67.4403,89.3721,119.7233,0.95
train_002111,Train-Target-002111,area,-2.22958725,152.49389912,8,90,231,1,optical,6.8161,30.7847,8.0,7.0779,46.4033,0.358762,auto,0,120,20.0,277.2367,146.5740,301.2469,0.95
train_000955,Train-Target-000955,point,39.28560789,-178.24516896,9,22,148,1,optical,3.2902,64.4456,8.0,6.8526,29.3382,0.418163,single,1,120,5.0,,,,
