target_id,target_name,latitude_deg,longitude_deg,priority,release_step,deadline_step,duration,required_mode,required_resolution_m,required_swath_km,min_sun_elevation_deg,energy_cost,original_data_mb,compression_ratio,cooperation_mode,required_observers,max_coordination_gap_steps
train_000765,Train-Target-000765,-2.14102527,94.27128854,9,59,174,1,optical,4.1466,64.8401,8.0,7.0171,67.9174,0.423600,simultaneous,2,120
train_002312,Train-Target-002312,29.54636589,10.56204965,1,163,219,1,sar,12.3001,104.6170,-90.0,7.0587,87.8208,0.230322,single,1,120
train_002791,Train-Target-002791,-40.62200665,147.18564818,3,96,204,1,infrared,19.3090,96.9201,-90.0,7.6917,29.1435,0.313985,single,1,120
train_002714,Train-Target-002714,-2.95759206,168.83462668,3,27,173,1,infrared,35.0379,77.9423,-90.0,8.3827,47.0291,0.240442,single,1,120
train_000294,Train-Target-000294,24.13610035,136.75972431,5,35,128,1,infrared,27.2085,94.1688,-90.0,5.0963,61.3978,0.385732,single,1,120
train_002744,Train-Target-002744,26.60149644,148.44730279,3,168,237,1,infrared,20.9220,79.4733,-90.0,7.3395,72.1104,0.248736,single,1,120
train_002133,Train-Target-002133,-36.17603609,56.71057795,2,48,98,1,sar,19.6430,68.0832,-90.0,5.7136,29.6868,0.180166,single,1,120
train_001989,Train-Target-001989,-16.87957970,108.96523557,4,64,194,1,optical,8.5906,55.4329,8.0,5.4393,26.9257,0.257306,single,1,120
train_000586,Train-Target-000586,70.90128023,-56.17743875,7,82,172,1,optical,3.1690,59.8279,8.0,6.5736,82.6712,0.270014,single,1,120
train_001683,Train-Target-001683,30.16811556,-5.26107942,8,109,190,1,sar,11.4823,72.6734,-90.0,6.3317,48.7698,0.352684,single,1,120
train_000635,Train-Target-000635,28.11477495,-151.67353510,8,25,177,1,optical,2.8323,15.9743,8.0,4.5902,57.3810,0.218583,single,1,120
train_000674,Train-Target-000674,12.43496741,158.57051326,1,178,239,1,sar,18.4211,63.9381,-90.0,5.5376,67.7734,0.365874,sequential,2,120
train_000237,Train-Target-000237,-11.94648591,-92.08159687,7,65,137,1,optical,8.7343,11.4010,8.0,4.5484,84.9347,0.407548,single,1,120
train_000677,Train-Target-000677,-20.77164775,-88.94796877,2,61,142,1,optical,6.2873,41.4647,8.0,6.9570,80.0822,0.408998,simultaneous,2,120
train_002459,Train-Target-002459,33.36991796,85.34287727,8,15,71,1,optical,7.0874,24.2835,8.0,8.1370,54.5368,0.332658,simultaneous,2,120
train_001565,Train-Target-001565,-7.23855717,-12.13205528,10,29,159,1,sar,20.3440,103.7701,-90.0,7.5958,59.4277,0.210638,single,1,120
train_002612,Train-Target-002612,3.72652352,24.28198866,6,102,171,1,optical,8.1833,19.0782,8.0,5.7328,52.0345,0.346830,single,1,120
train_002632,Train-Target-002632,-15.34104214,-49.80022110,6,86,228,1,optical,5.2153,26.1326,8.0,4.6635,51.8260,0.200974,single,1,120
train_002732,Train-Target-002732,-17.54075437,-156.46908952,4,4,149,1,optical,5.2562,30.6625,8.0,7.4215,52.6034,0.187432,sequential,2,120
train_000664,Train-Target-000664,-4.47441053,-159.57490581,4,35,120,1,sar,8.6553,91.2761,-90.0,5.5937,72.6786,0.269468,sequential,2,120
train_002125,Train-Target-002125,-34.49063513,-81.63651304,10,113,239,1,infrared,30.1217,83.0431,-90.0,7.0514,85.8735,0.261689,sequential,2,120
train_002759,Train-Target-002759,47.80572977,-90.46672157,9,65,163,1,sar,15.3908,54.8876,-90.0,6.9869,26.2908,0.206340,single,1,120
train_000561,Train-Target-000561,-8.32253468,14.65549642,4,95,151,1,sar,8.6957,82.5114,-90.0,6.6129,78.2474,0.234077,single,1,120
train_001220,Train-Target-001220,5.86989767,94.73898306,3,32,133,1,sar,11.2430,39.0653,-90.0,6.7489,56.9008,0.272517,single,1,120
train_001782,Train-Target-001782,-49.06970257,-22.04038924,9,178,224,1,optical,3.8420,39.0968,8.0,7.2831,73.9427,0.201667,single,1,120
train_002332,Train-Target-002332,7.55973414,94.66226679,7,40,141,1,optical,6.6399,55.8786,8.0,5.7358,55.1191,0.242849,single,1,120
train_001082,Train-Target-001082,3.84279421,-116.88447099,3,107,195,1,optical,5.2425,43.4802,8.0,5.2712,55.7659,0.384426,single,1,120
train_000714,Train-Target-000714,-38.43587707,-63.73286784,9,78,120,1,optical,4.0343,62.5378,8.0,4.9771,66.8156,0.301443,single,1,120
train_002856,Train-Target-002856,56.49132997,-10.14951203,7,169,210,1,optical,4.1119,46.2308,8.0,6.1614,48.1016,0.289844,single,1,120
train_002628,Train-Target-002628,6.04633226,79.93354799,9,39,154,1,optical,6.0129,57.7528,8.0,6.6833,38.1117,0.256446,single,1,120
train_001035,Train-Target-001035,39.40225388,43.17049891,7,21,80,1,optical,7.9134,52.9363,8.0,6.1078,21.1107,0.215465,sequential,2,120
train_000326,Train-Target-000326,-6.67727681,14.74488697,9,119,194,1,optical,6.4535,34.0690,8.0,7.3163,70.9174,0.292188,single,1,120
train_003020,Train-Target-003020,13.77094565,-102.83001243,5,63,149,1,sar,21.2622,78.2246,-90.0,5.8014,21.7063,0.336049,sequential,2,120
train_002904,Train-Target-002904,62.75133307,-150.93766353,4,83,196,1,optical,3.8869,11.6164,8.0,8.1957,36.6918,0.207563,sequential,2,120
train_002371,Train-Target-002371,-64.65729894,139.91280950,6,71,120,1,sar,20.5604,105.9051,-90.0,6.2513,29.2890,0.376287,simultaneous,2,120
train_002083,Train-Target-002083,-45.41283712,-74.03890497,6,68,227,1,infrared,26.5736,113.0766,-90.0,6.0198,65.8529,0.292539,sequential,2,120
train_000750,Train-Target-000750,53.02417209,137.66296725,2,53,110,1,optical,2.2330,16.1173,8.0,4.6199,32.9134,0.217623,single,1,120
train_001988,Train-Target-001988,79.21378677,149.56505670,3,131,211,1,optical,7.8815,51.7941,8.0,7.7812,89.7830,0.187902,single,1,120
train_001172,Train-Target-001172,0.77316150,-150.48573491,10,70,121,1,optical,6.2688,18.6846,8.0,4.7450,50.0082,0.234686,single,1,120
train_002167,Train-Target-002167,-24.63337343,177.97395642,6,87,216,1,optical,6.6678,55.7929,8.0,4.6840,78.8266,0.385014,sequential,2,120
train_000132,Train-Target-000132,-53.56384009,-85.47046792,7,47,164,1,sar,10.4546,105.1182,-90.0,7.7920,79.1760,0.307315,simultaneous,2,120
train_000779,Train-Target-000779,-11.04447353,5.36149450,7,31,112,1,optical,8.8356,59.6481,8.0,4.5581,88.1605,0.182387,single,1,120
train_002835,Train-Target-002835,-76.81534843,177.73265207,1,18,92,1,sar,14.2864,71.4519,-90.0,5.0057,60.5004,0.280787,single,1,120
train_000873,Train-Target-000873,-9.27363257,19.01476472,9,39,89,1,optical,3.2543,35.3748,8.0,6.8921,67.2296,0.253087,single,1,120
train_002982,Train-Target-002982,-62.21449265,72.26231405,9,109,155,1,infrared,27.6136,139.8931,-90.0,7.4239,45.4260,0.428763,single,1,120
train_002117,Train-Target-002117,28.00050463,-156.89358427,8,65,193,1,optical,6.9594,21.0892,8.0,6.2877,64.2128,0.391842,single,1,120
train_002372,Train-Target-002372,40.98975694,169.65082720,5,125,195,1,optical,3.6990,47.2648,8.0,8.3466,74.2293,0.339105,single,1,120
train_000329,Train-Target-000329,-27.60904583,146.53570741,3,97,188,1,sar,9.3601,102.4030,-90.0,7.6949,59.3725,0.291097,single,1,120
train_001394,Train-Target-001394,-17.52983102,20.25108666,6,19,105,1,optical,8.2552,50.2342,8.0,7.7984,47.1430,0.341074,single,1,120
train_000440,Train-Target-000440,37.51260190,137.49102880,9,6,68,1,infrared,26.9249,124.5013,-90.0,6.2690,23.6868,0.364465,single,1,120
train_001484,Train-Target-001484,-62.24128207,-170.20440292,9,33,144,1,optical,3.3917,12.5373,8.0,6.5693,43.1575,0.405234,single,1,120
train_001079,Train-Target-001079,-45.54265647,-103.26602152,10,90,223,1,optical,3.7610,47.6926,8.0,7.9495,21.4323,0.318504,single,1,120
train_001640,Train-Target-001640,-11.99648800,-147.63119825,6,120,192,1,optical,5.0650,52.4516,8.0,4.8084,80.8850,0.343729,single,1,120
train_000721,Train-Target-000721,-57.25942244,-66.73975052,1,72,148,1,optical,6.7892,57.6232,8.0,7.3596,31.5431,0.353784,sequential,2,120
train_003057,Train-Target-003057,-34.01498067,136.60317322,10,19,67,1,sar,8.5124,63.7724,-90.0,5.8272,74.0827,0.433242,sequential,2,120
train_001036,Train-Target-001036,31.51856000,162.39617168,9,88,229,1,optical,6.7977,29.1448,8.0,5.5866,55.4974,0.246657,single,1,120
train_002074,Train-Target-002074,26.06205619,-40.70896074,6,54,160,1,sar,16.2417,48.9871,-90.0,5.5229,56.3977,0.190181,single,1,120
train_000710,Train-Target-000710,-34.19640724,-13.09476403,1,123,201,1,optical,9.4563,56.2715,8.0,7.2503,74.7203,0.405036,sequential,2,120
train_002816,Train-Target-002816,79.56105656,4.84481692,1,136,211,1,sar,13.9156,89.2629,-90.0,7.5320,64.1254,0.309915,sequential,2,120
train_001831,Train-Target-001831,-30.82762918,60.64060025,9,75,157,1,sar,13.9925,84.0925,-90.0,4.5197,54.0108,0.238697,simultaneous,2,120
train_001001,Train-Target-001001,34.59658542,-19.02635222,1,74,133,1,optical,3.3396,39.2606,8.0,6.6403,73.6246,0.317255,single,1,120
train_002393,Train-Target-002393,-19.10330540,132.01826177,9,167,221,1,sar,9.5187,27.5657,-90.0,7.7474,48.6538,0.297486,sequential,2,120
train_000992,Train-Target-000992,-59.32410143,-0.43741683,3,34,181,1,optical,8.1633,23.5499,8.0,7.2365,88.0559,0.326631,sequential,2,120
train_000593,Train-Target-000593,-13.55190868,-127.21646144,2,144,224,1,optical,7.5857,32.7725,8.0,6.7671,27.5038,0.302487,sequential,2,120
train_002357,Train-Target-002357,-62.11668329,67.42854325,9,42,171,1,sar,16.9723,35.6623,-90.0,5.2177,65.0011,0.281084,sequential,2,120
train_000581,Train-Target-000581,11.04258663,-128.05001087,9,84,225,1,sar,9.5129,46.7794,-90.0,6.3620,51.9500,0.202864,simultaneous,2,120
train_002903,Train-Target-002903,40.73804914,19.86163485,8,116,215,1,optical,5.4346,62.3804,8.0,6.7789,66.9017,0.226173,single,1,120
train_000009,Train-Target-000009,39.48327485,109.63771285,4,48,108,1,optical,9.5812,16.8204,8.0,5.3396,60.2913,0.278048,single,1,120
train_002102,Train-Target-002102,10.01170218,9.33124891,1,108,239,1,optical,7.0231,37.8315,8.0,5.7289,81.9395,0.191665,single,1,120
train_002286,Train-Target-002286,-13.35032589,17.77011058,9,32,136,1,optical,2.1944,20.9999,8.0,5.2453,84.4775,0.418516,single,1,120
train_001487,Train-Target-001487,11.58630911,171.72135601,2,17,88,1,sar,20.6658,93.9799,-90.0,7.8059,78.2406,0.328590,single,1,120
train_002549,Train-Target-002549,-19.81437937,-46.22358417,6,56,114,1,optical,3.3232,61.8860,8.0,5.2364,82.1362,0.232577,single,1,120
train_001892,Train-Target-001892,26.90165363,138.56048059,5,164,222,1,infrared,38.7268,59.1901,-90.0,6.7232,28.3012,0.437369,single,1,120
train_001612,Train-Target-001612,-16.94281310,-113.93092991,7,27,162,1,sar,12.7096,32.4310,-90.0,6.5053,36.4953,0.354594,single,1,120
train_002660,Train-Target-002660,-51.27101637,-164.50125153,1,136,184,1,optical,9.7593,57.0431,8.0,5.2097,77.5466,0.342704,single,1,120
train_000573,Train-Target-000573,82.40618537,-153.71968688,8,74,198,1,optical,7.3509,11.1072,8.0,7.8024,86.0472,0.406744,single,1,120
train_001175,Train-Target-001175,-35.84050379,166.04552676,3,93,228,1,optical,8.5067,12.8616,8.0,6.7345,86.6928,0.449344,sequential,2,120
